iter	Passed	Remaining
767	1328	401
768	1329	399
769	1331	397
770	1333	395
771	1334	394
772	1338	393
773	1340	391
774	1342	389
775	1348	389
776	1350	387
777	1352	385
778	1356	384
779	1359	383
780	1362	382
781	1364	380
782	1368	379
783	1370	377
784	1371	375
785	1372	373
786	1373	371
787	1375	370
788	1376	368
789	1378	366
790	1379	364
791	1381	362
792	1383	361
793	1385	359
794	1386	357
795	1389	356
796	1390	354
797	1392	352
798	1394	350
799	1395	348
800	1398	347
801	1402	346
802	1403	344
803	1405	342
804	1407	340
805	1408	339
806	1410	337
807	1423	338
808	1440	340
809	1447	339
810	1450	337
811	1453	336
812	1456	335
813	1460	333
814	1462	331
815	1464	330
816	1468	328
817	1471	327
818	1478	326
819	1480	325
820	1482	323
821	1483	321
822	1485	319
823	1486	317
824	1488	315
825	1490	313
826	1491	312
827	1493	310
828	1494	308
829	1495	306
830	1497	304
831	1499	302
832	1500	300
833	1501	298
834	1502	296
835	1504	295
836	1506	293
837	1507	291
838	1509	289
839	1510	287
840	1512	285
841	1514	284
842	1515	282
843	1516	280
844	1518	278
845	1519	276
846	1520	274
847	1522	272
848	1523	270
849	1524	269
850	1525	267
851	1527	265
852	1528	263
853	1529	261
854	1531	259
855	1532	257
856	1533	255
857	1535	254
858	1536	252
859	1537	250
860	1538	248
861	1539	246
862	1540	244
863	1542	242
864	1543	240
865	1544	239
866	1545	237
867	1547	235
868	1548	233
869	1549	231
870	1550	229
871	1551	227
872	1552	225
873	1554	224
874	1555	222
875	1556	220
876	1557	218
877	1559	216
878	1560	214
879	1561	212
880	1562	211
881	1563	209
882	1565	207
883	1566	205
884	1567	203
885	1568	201
886	1569	199
887	1570	198
888	1573	196
889	1574	194
890	1575	192
891	1577	190
892	1578	189
893	1580	187
894	1581	185
895	1582	183
896	1583	181
897	1585	180
898	1586	178
899	1588	176
900	1589	174
901	1591	172
902	1592	171
903	1593	169
904	1594	167
905	1596	165
906	1597	163
907	1598	162
908	1600	160
909	1601	158
910	1603	156
911	1605	154
912	1606	153
913	1607	151
914	1609	149
915	1610	147
916	1611	145
917	1613	144
918	1614	142
919	1616	140
920	1617	138
921	1619	136
922	1620	135
923	1621	133
924	1622	131
925	1624	129
926	1625	127
927	1626	126
928	1627	124
929	1628	122
930	1630	120
931	1631	119
932	1632	117
933	1633	115
934	1634	113
935	1636	111
936	1637	110
937	1638	108
938	1639	106
939	1640	104
940	1642	102
941	1643	101
942	1644	99
943	1645	97
944	1646	95
945	1648	94
946	1649	92
947	1650	90
948	1651	88
949	1652	86
950	1653	85
951	1655	83
952	1656	81
953	1657	79
954	1658	78
955	1659	76
956	1661	74
957	1662	72
958	1663	71
959	1665	69
960	1666	67
961	1667	65
962	1669	64
963	1670	62
964	1671	60
965	1672	58
966	1674	57
967	1675	55
968	1676	53
969	1677	51
970	1679	50
971	1680	48
972	1682	46
973	1683	44
974	1684	43
975	1685	41
976	1686	39
977	1688	37
978	1690	36
979	1691	34
980	1692	32
981	1694	31
982	1695	29
983	1697	27
984	1698	25
985	1699	24
986	1700	22
987	1701	20
988	1702	18
989	1704	17
990	1705	15
991	1706	13
992	1708	12
993	1709	10
994	1710	8
995	1711	6
996	1713	5
997	1714	3
998	1716	1
999	1717	0
